시도,시군구,행정구역,계_연장,계_면적,광로_연장,광로_면적,대로_연장,대로_면적,중로_연장,중로_면적,소로_연장,소로_명적
경상남도,함안군,경상남도_함안군,362645,6428176,25116,911735,55077,1695143,176878,3012817,105574,808481
경상남도,창녕군,경상남도_창녕군,477028,8339965,29570,1478500,63814,1824680,211135,3462043,172509,1574742
경상남도,고성군,경상남도_고성군,504713,12264057,22916,2280194,19742,628770,146624,4513919,315431,4841174
경상남도,남해군,경상남도_남해군,358736,3313875,0,0,5127,163533,35056,609095,318553,2541247
경상남도,하동군,경상남도_하동군,499115,8164043,21370,905800,24156,691835,249146,4852459,204443,1713949
경상남도,산청군,경상남도_산청군,476092,6987432,30618,1224720,78585,1953220,97001,1482565,269888,2326927
경상남도,함양군,경상남도_함양군,439951,5498009,3130,125200,82485,2050519,37231,579571,317105,2742719
경상남도,거창군,경상남도_거창군,555383,9770980,30800,1388220,74260,2355340,353507,5268711,96816,758709
경상남도,합천군,경상남도_합천군,548553,9065996,0,0,52827,1717045,308949,5877572,186777,1471379
제주특별자치도,소계,제주특별자치도_소계,2179929,35704346,15755,421475,450539,13629071,952913,15505612,760722,6148188
제주특별자치도,제주시,제주특별자치도_제주시,1235590,19869926,8120,225425,236933,6986295,511283,8842566,479254,3815640
제주특별자치도,서귀포시,제주특별자치도_서귀포시,944339,15834420,7635,196050,213606,6642776,441630,6663046,281468,2332548
